State,Total Winter All Loss (%),Beekeepers,Beekeepers Exclusive to State (%),Colonies,Colonies Exclusive to State (%),Year
Tennessee,8.1,7,100,42,100,2008-2009
Maryland,13.6,15,100,5931,100,2008-2009
Michigan,17.9,21,90.5,8722,62.2,2008-2009
Georgia,18.3,44,95.5,7269,87.1,2008-2009
Massachusetts,20.2,38,97.4,20174,0.9,2008-2009
Washington,20.4,8,62.5,43708,0.1,2008-2009
Maine,21.7,38,92.1,44971,0.4,2008-2009
Arkansas,22.2,28,100,7394,100,2008-2009
New York,24.1,28,89.3,35182,36.6,2008-2009
North Dakota,25.3,24,12.5,209297,0,2008-2009
California,25.7,60,30,266566,2.3,2008-2009
Florida,26.9,20,55,28304,29.1,2008-2009
MultiStateOperation,27,52,0,287476,0,2008-2009
South Dakota,27,27,22.2,162597,1.1,2008-2009
Texas,29.3,11,9.1,49401,0,2008-2009
Idaho,33.1,14,92.9,43449,87.8,2008-2009
Utah,36.4,27,96.3,18921,72,2008-2009
North Carolina,39.4,51,100,7635,100,2008-2009
Pennsylvania,40.5,262,98.1,11744,55,2008-2009
Rhode Island,40.6,5,100,30,100,2008-2009
Louisiana,41.8,10,70,60835,48.9,2008-2009
Ohio,44.6,9,100,51,100,2008-2009
Wisconsin,44.7,17,100,3871,100,2008-2009
Virginia,46.4,36,100,161,100,2008-2009
Mississippi,48.2,15,73.3,18352,7.2,2008-2009
Iowa,51.5,17,100,11703,100,2008-2009
New Jersey,10.4,31,77.4,3046,4,2009-2010
Nevada,11.2,5,60,1851,1.1,2009-2010
Arizona,12.8,5,40,2136,7.1,2009-2010
Utah,20.8,64,93.8,7768,13.2,2009-2010
Hawaii,21.4,8,87.5,51,92.2,2009-2010
Arkansas,23.5,50,96,447,98.4,2009-2010
New Hampshire,26.2,76,93.4,802,80.8,2009-2010
North Dakota,26.6,30,26.7,213327,3.9,2009-2010
Idaho,27.3,27,92.6,23211,0.9,2009-2010
South Dakota,28.1,16,12.5,143276,0,2009-2010
Nebraska,28.5,17,70.6,85286,0.1,2009-2010
Alabama,28.9,46,95.7,1357,95.3,2009-2010
Missouri,28.9,42,95.2,1045,73.2,2009-2010
Tennessee,28.9,62,98.4,661,84.4,2009-2010
Vermont,29,68,94.1,2648,69.7,2009-2010
Montana,29.5,24,37.5,105509,0.1,2009-2010
Oregon,29.7,49,89.8,27497,3.9,2009-2010
California,31.7,166,62.6,333778,6.4,2009-2010
Minnesota,31.8,37,75.7,101437,0.9,2009-2010
Washington,32.5,144,92.4,69351,1.6,2009-2010
Colorado,33,99,95,6627,14,2009-2010
Wisconsin,33.3,155,92.3,12097,33.2,2009-2010
MultiStateOperation,33.5,161,0,344782,0,2009-2010
South Carolina,34.4,126,88.9,9819,14.6,2009-2010
Rhode Island,37.3,67,92.5,262,93.5,2009-2010
New Mexico,37.9,9,100,3034,100,2009-2010
Virginia,38,480,97.1,3181,94.3,2009-2010
Texas,38.6,59,83,50739,8.5,2009-2010
Maryland,38.7,171,94.2,4145,80.8,2009-2010
New York,38.8,162,85.8,22154,31.3,2009-2010
Oklahoma,39,10,90,139,96.4,2009-2010
Kansas,39.3,10,70,5251,1.4,2009-2010
Pennsylvania,42.6,546,96.9,8843,57.7,2009-2010
Michigan,44.9,231,96.5,11776,34.2,2009-2010
North Carolina,45.6,191,95.8,3126,77.6,2009-2010
Mississippi,45.8,14,85.7,11196,3.3,2009-2010
Georgia,47.7,87,92,7165,8.9,2009-2010
Kentucky,48.9,25,88,613,61.3,2009-2010
West Virginia,50.1,117,91.5,1390,61.1,2009-2010
Connecticut,50.5,58,87.9,742,38.1,2009-2010
Ohio,52.4,203,97,4828,34.8,2009-2010
Florida,53.4,153,89.5,32900,12.2,2009-2010
Delaware,54.8,15,93.3,95,92.6,2009-2010
