Year,Period,Week Ending,State,State ANSI,Watershed,CV (%),ADDED & REPLACED,"INVENTORY, MAX","LOSS, COLONY COLLAPSE DISORDER","LOSS, DEADOUT",INVENTORY
2017,JAN THRU MAR,NA,ALABAMA,1,NA,NA,570,7000,250,1600,NA
2017,JAN THRU MAR,NA,ARIZONA,4,NA,NA,2900,32000,2600,6000,NA
2017,JAN THRU MAR,NA,ARKANSAS,5,NA,NA,430,20000,180,3500,NA
2017,JAN THRU MAR,NA,CALIFORNIA,6,NA,NA,215000,1440000,19000,172000,NA
2017,JAN THRU MAR,NA,COLORADO,8,NA,NA,100,21000,840,1100,NA
2017,JAN THRU MAR,NA,CONNECTICUT,9,NA,NA,100,3100,110,380,NA
2017,JAN THRU MAR,NA,FLORIDA,12,NA,NA,80000,265000,6500,30000,NA
2017,JAN THRU MAR,NA,GEORGIA,13,NA,NA,36000,125000,4100,14000,NA
2017,JAN THRU MAR,NA,HAWAII,15,NA,NA,510,13000,0,190,NA
2017,JAN THRU MAR,NA,IDAHO,16,NA,NA,2000,99000,2500,8500,NA
2017,JAN THRU MAR,NA,ILLINOIS,17,NA,NA,3100,11000,660,2900,NA
2017,JAN THRU MAR,NA,INDIANA,18,NA,NA,1700,7500,470,1900,NA
2017,JAN THRU MAR,NA,IOWA,19,NA,NA,70,15500,650,3000,NA
2017,JAN THRU MAR,NA,KANSAS,20,NA,NA,930,3800,430,1000,NA
2017,JAN THRU MAR,NA,KENTUCKY,21,NA,NA,950,7000,680,1300,NA
2017,JAN THRU MAR,NA,LOUISIANA,22,NA,NA,11000,47000,340,2700,NA
2017,JAN THRU MAR,NA,MAINE,23,NA,NA,100,3100,0,1000,NA
2017,JAN THRU MAR,NA,MARYLAND,24,NA,NA,770,9000,60,2100,NA
2017,JAN THRU MAR,NA,MASSACHUSETTS,25,NA,NA,120,3300,40,1500,NA
2017,JAN THRU MAR,NA,MICHIGAN,26,NA,NA,600,59000,2800,5000,NA
2017,JAN THRU MAR,NA,MINNESOTA,27,NA,NA,3300,41000,9000,3500,NA
2017,JAN THRU MAR,NA,MISSISSIPPI,28,NA,NA,23000,68000,0,2600,NA
2017,JAN THRU MAR,NA,MISSOURI,29,NA,NA,400,7500,160,1200,NA
2017,JAN THRU MAR,NA,MONTANA,30,NA,NA,3100,46000,1600,470,NA
